位置,标题,任务ID,父任务ID,优先级,风险,完成百分比,估算时间,消耗时间,创建日期,创建自,修改日期,开始日期,到期日,完成日期,分配给,分配自,状态,类别,标签,成本,文件链接,子任务完成度,注释(&O)
1,广告万像,17,0,5,0,100,30 I,0 H,2016/8/29 16:42,Leequn,2016/8/29 16:43,2016/8/29,,,lijiqun,lijiqun,todo,未完成,待办事项,0.00,,2/2,"",
1.1,  广告万像V1.2,14,17,5,0,100,30 I,0 H,2016/8/29 16:41,Leequn,2016/8/29 16:43,2016/8/29,,,lijiqun,lijiqun,todo,未完成,待办事项,0.00,,2/2,"",
1.1.1,    试用申请用户创建人群增加标识,6,14,5,0,100,30 I,0 H,2016/8/29 16:21,Leequn,2016/8/29 18:11,2016/8/29,,2016/8/29 18:11,lijiqun,lijiqun,Completed,未完成,待办事项,0.00,,,"试用申请用户创建的人群每月不更新",
1.1.2,    上线新版本,15,14,5,0,100,30 I,0 H,2016/8/29 16:41,Leequn,2016/8/30 9:59,2016/8/29,,2016/8/30 9:59,lijiqun,lijiqun,Completed,未完成,待办事项,0.00,,,"",
1.2,  广告万像V2.0,2,17,5,0,100,30 D,0 H,2016/8/29 16:19,Leequn,2016/8/29 16:43,2016/8/29,2016/9/30,,lijiqun,lijiqun,todo,未完成,待办事项,0.00,,3/3,"",
1.2.1,    广告万像v1.2切出分支做新版本开发,7,2,5,0,100,30 I,0 H,2016/8/29 16:24,Leequn,2016/8/30 14:46,2016/8/29,,2016/8/30 14:46,lijiqun,lijiqun,Completed,未完成,待办事项,0.00,,,"",
1.2.2,    jekins分支、测试、预发布、线上环境配置,31,2,5,0,100,30 I,0 H,2016/8/30 14:49,Leequn,2016/8/30 15:39,2016/8/30,,2016/8/30 15:39,lijiqun,lijiqun,Completed,未完成,待办事项,0.00,,,"",
1.2.3,    v2.0原型分析,9,2,5,0,100,0 I,0 H,2016/8/29 16:27,Leequn,2016/8/29 16:39,2016/8/29,,,lijiqun,lijiqun,todo,未完成,待办事项,0.00,C:\Users\Administrator\Desktop\千帆\4a千帆\V2.0\广告万像v2.0原型0829\广告万像v2.0原型0829,4/4,"",
1.2.3.1,      预估开发周期,11,9,5,0,100,60 I,0 H,2016/8/29 16:32,Leequn,2016/9/2 10:33,2016/8/29,2016/8/31,2016/9/2 10:33,lijiqun,lijiqun,Completed,未完成,待办事项,0.00,,,"",
1.2.3.2,      计划开发顺序,12,9,5,0,100,30 I,0 H,2016/8/29 16:34,Leequn,2016/9/2 10:34,2016/8/29,2016/8/31,2016/9/2 10:34,lijiqun,lijiqun,Completed,未完成,待办事项,0.00,,,"",
1.2.3.3,      整理目前万像没有的数据,38,9,5,0,100,30 I,0 H,2016/8/31 15:51,Leequn,2016/8/31 16:58,2016/8/31,2016/8/31,2016/8/31 16:58,lijiqun,lijiqun,Completed,未完成,工作待办,0.00,,,"",
1.2.3.4,      开发任务分配,13,9,5,0,100,30 I,0 H,2016/8/29 16:34,Leequn,2016/9/2 10:34,2016/8/29,,2016/9/2 10:34,lijiqun,lijiqun,Completed,未完成,待办事项,0.00,..\为知笔记\Data\lijichuen@163.com\工作\易观\01千帆产品\0034A千帆\4A千帆.ziw,,"",
2,游戏千帆,18,0,5,0,0,60 I,0 H,2016/8/29 16:44,Leequn,2016/8/29 16:44,2016/8/29,,,lijiqun,lijiqun,todo,未完成,待办事项,0.00,,0/1,"",
2.1,  游戏千帆V1.0,19,18,5,0,0,30 I,0 H,2016/8/29 17:00,Leequn,2016/8/29 17:01,2016/8/29,,,lijiqun,lijiqun,todo,未完成,待办事项,0.00,,,"",
3,八月总结规划,32,0,7,0,100,30 I,0 H,2016/8/30 14:49,Leequn,2016/9/1 9:25,2016/8/30,2016/8/31,2016/9/1 9:25,lijiqun,lijiqun,Completed,未完成,待办事项,0.00,,,"",
4,wiki模板设置,34,0,5,0,0,30 I,0 H,2016/8/30 15:05,Leequn,2016/8/30 15:05,2016/8/30,,,lijiqun,lijiqun,todo,未完成,待办事项,0.00,,,"项目文档模板，产品动态模板",
5,spring boot项目搭建,35,0,5,0,0,30 I,0 H,2016/8/30 17:44,Leequn,2016/8/30 17:44,2016/8/30,,,lijiqun,lijiqun,todo,未完成,工作待办,0.00,,,"",
6,java web项目测试用例,36,0,5,0,0,30 I,0 H,2016/8/30 17:44,Leequn,2016/8/30 17:45,2016/8/30,,,lijiqun,lijiqun,todo,未完成,工作待办,0.00,,,"",
